排名,裝備ID,中文名,類型/EquipPartGroup,分數(越高越偏傷害),Stats,EquipmentEffectIds,備註
1,20026,預知之戒,1,259.72,CriticalChancePercent:22.5|AtkSpeedPercent:20|CooldownReductionPercent:5,,同 EquipPartGroup 視為同類飾品，只取一件
2,22016,疾走耳環,3,241.97,MoveSpeedPercent:12.5|CriticalChancePercent:7.5|AtkSpeedPercent:20,,同 EquipPartGroup 視為同類飾品，只取一件
3,20016,赤血之戒,1,241.53,Atk:45|MoveSpeedPercent:4|HpMax:90,,同 EquipPartGroup 視為同類飾品，只取一件
4,20044,鐵極之戒,1,238.45,PenetrationPercent:30|HpRegen:1.5|Def:15,,同 EquipPartGroup 視為同類飾品，只取一件
5,25035,碧風諾里蓋,5,233.59,WindResistancePercent:60|BackAttackDamagePercent:15|AtkSpeedPercent:20,,同 EquipPartGroup 視為同類飾品，只取一件
6,21034,再生項鍊,2,225.77,HpRegen:4.5|Atk:15|PenetrationPercent:10,,同 EquipPartGroup 視為同類飾品，只取一件
7,23014,時間扭曲手鐲,4,225.20,CooldownReductionPercent:12.5|HpRegen:4.5|WeaknessDamagePercent:20,,同 EquipPartGroup 視為同類飾品，只取一件
8,25025,滄海諾里蓋,5,214.62,WaterResistancePercent:60|PenetrationPercent:10|CriticalChancePercent:7.5,,同 EquipPartGroup 視為同類飾品，只取一件
9,25015,紅蓮諾里蓋,5,211.48,FireResistancePercent:60|CriticalDamagePercent:22.5|WeaknessDamagePercent:20,,同 EquipPartGroup 視為同類飾品，只取一件
10,20036,慘劇之戒,1,203.63,CriticalDamagePercent:67.5|Def:15|ReductionDamagePercent:4,,同 EquipPartGroup 視為同類飾品，只取一件
11,21016,守護項鍊,2,200.49,Def:45|AdditionalAttackDamagePercent:3|HpMax:90,,同 EquipPartGroup 視為同類飾品，只取一件
12,20053,靜默之戒,1,194.66,,20093,同 EquipPartGroup 視為同類飾品，只取一件
13,20063,激動之戒,1,194.66,,20103,同 EquipPartGroup 視為同類飾品，只取一件
14,20073,不屈之戒,1,194.66,,20263,同 EquipPartGroup 視為同類飾品，只取一件
15,20083,解放之戒,1,194.66,,20273,同 EquipPartGroup 視為同類飾品，只取一件
16,20093,活力之戒,1,194.66,,20283,同 EquipPartGroup 視為同類飾品，只取一件
17,21026,活力項鍊,2,194.66,HpMax:270|BackAttackDamagePercent:15|ReductionDamagePercent:4,,同 EquipPartGroup 視為同類飾品，只取一件
18,21043,豐饒項鍊,2,194.66,,20293,同 EquipPartGroup 視為同類飾品，只取一件
19,23023,蠍子之戒,1,194.66,,20303,同 EquipPartGroup 視為同類飾品，只取一件
20,23033,荊棘之戒,1,194.66,,20323,同 EquipPartGroup 視為同類飾品，只取一件
21,23063,獵人腳鏈,8,194.66,,20123,同 EquipPartGroup 視為同類飾品，只取一件
22,23073,聖火腳鏈,8,194.66,,20133,同 EquipPartGroup 視為同類飾品，只取一件
23,23083,異界紋樣腳鏈,8,194.66,,20143,同 EquipPartGroup 視為同類飾品，只取一件
24,23093,復仇腳鏈,8,194.66,,20153,同 EquipPartGroup 視為同類飾品，只取一件
25,23103,開拓者腳鏈,8,194.66,,20163,同 EquipPartGroup 視為同類飾品，只取一件
26,23113,鎚之腳鏈,8,194.66,,20173,同 EquipPartGroup 視為同類飾品，只取一件
27,23123,幻眼腳鏈,8,194.66,,20183,同 EquipPartGroup 視為同類飾品，只取一件
28,24053,忍耐胸針,6,194.66,,20253,同 EquipPartGroup 視為同類飾品，只取一件
29,26022,熾天使腕錶,7,194.66,,30003,同 EquipPartGroup 視為同類飾品，只取一件
30,26042,軍團腕錶,7,194.66,,30013,同 EquipPartGroup 視為同類飾品，只取一件
31,26062,微風腕錶,7,194.66,,30023,同 EquipPartGroup 視為同類飾品，只取一件
32,26073,極速懷錶,7,194.66,,30033,同 EquipPartGroup 視為同類飾品，只取一件
33,26083,屏障腕錶,7,194.66,,30043,同 EquipPartGroup 視為同類飾品，只取一件
34,26091,聖域懷錶,7,194.66,,30051,同 EquipPartGroup 視為同類飾品，只取一件